Category,Option,Value
Governança,Art 9 I (a) distribuição servidores entre graus de jurisdição 219 art 3,10
Governança,Art 9 I (b) valores integrais das funções comissionadas 219 art 3,10
Governança,Art 9 I (c) valores integrais cargos em comissão 219 art 12,10
Governança,Art 9 I (d) 30% apoio indireto - servidores 219 art 11,5
Governança,Art 9 I (e) 30% apoio indireto - função comissionada 219 art 14,5
Governança,Art 9 I (f) 30% apoio indireto - cargo em comissão 219 art 14,5
Governança,Art 9 I (g) distribuição orçamento - proporcional média casos novos triênio Res 195,10
Governança,Art 9 II (a.1) consulta pública,15
Governança,Art 9 II (a.2) audiência pública,15
Governança,Art 9 II (b.1) reuniões com 30% magistrados,15
Governança,Art 9 II (b.2) reuniões com 30% servidores,15
Governança,Art 9 III PLS-Jud - IDS 80%,25
Governança,Art 9 IV (a) Possuir NatJus estruturado segundo CNJ,10
Governança,Art 9 IV (b) Plano Estadual de resolução de demandas de saúde,10
Governança,Art 9 IV (c) CEJUSC saúde ou acordo cooperação técnica,10
Governança,Art 9 IV (d) Possuir fluxo de cumprimento de decisões judiciais de saúde,10
Governança,Art 9 IV (e) Manual de Cumprimento de ordens judiciais para Magistrados,10
Governança,Art 9 V Centro de Inteligência - nota técnica 1,5
Governança,Art 9 V Centro de Inteligência - nota técnica 2,5
Governança,Art 9 V Centro de Inteligência - nota técnica 3 - adesão,5
Governança,Art 9 VI (a) Instalar (ata) Comissão de Prevenção e Enfrentamento a Assédio,10
Governança,Art 9 VI (b) Campanha de orientação sobre assédio,10
Governança,Art 9 VII (a) Gestão de Memória - 2 Editais de Eliminação de processos,20
Governança,Art 9 VII (b) Ambiente de Preservação de Memória,10
Governança,Art 9 VIII (a) Núcleo de Justiça Restaurativa com 2 servidores DE,10
Governança,Art 9 VIII (b.1) capacitação facilitadores 30h teórica 40h práticas,10
Governança,Art 9 VIII (b.2) capacitação continuada 20h,10
Governança,Art 9 VIII (c) relatório do Núcleo com 6 casos,10
Governança,Art 9 IX (a) GMF estrutura de apoio administrativo E equipe multiprofissional,20
Governança,Art 9 X 100% inspeções em 12 meses,30
Governança,Art 9 XI (a) 100% inspeções bimestrais Meio Fechado,20
Governança,Art 9 XI (b) 100% inspeções semestrais Meio Aberto,10
Governança,Art 9 XII (a) Participação Feminina - paridade promoção merecimento,10
Governança,Art 9 XII (b) Participação Feminina - paridade banca concurso magistratura,5
Governança,Art 9 XII (c) Participação Feminina - alta administração - P VP CGJ EMES,10
Governança,Art 9 XII (d) Participação Feminina - compor cortes eleitorais,10
Governança,Art 9 XII (e) Participação Feminina - paridade cargos de chefia,10
Governança,Art 9 XIII Centro Especializado de Atenção às Vítimas Res 253 funcionamento,20
Governança,Art 9 XIV (a.1) Acessibilidade - envio de Relatório,0
Governança,Art 9 XIV (a.2.1) 70% eventos com acessibilidade comunicacional,10
Governança,Art 9 XIV (a.2.2) 2 recursos de computador para deficiente visual,10
Governança,Art 9 XIV (a.2.3) Capacitação de servidor em acessibilidade,10
Governança,Art 9 XIV (b) 1 projeto de linguagem simples na prestação jurisdicional,10
Governança,Art 9 XV (a) Laboratório de Inovação 1 magistrado 1 servidor DE,10
Governança,Art 9 XV (b) Relatório de projeto com Design Thinking,10
Governança,Art 9 XVI (a) 1 iniciativa de Cooperação promovida pelo Núcleo,10
Governança,Art 9 XVI (b) 1 iniciativa de Cooperação promovida por juízes,10
Governança,Art 9 XVII Capacitação 80% Magistrados em DFs (i) gênero e VD (ii) depoimento especial,40
Governança,Art 9 XVIII Capacitação facilitadores em Violência Doméstica,10
Governança,Art 9 XIX Criação de Juizado-Vara Violência Doméstica Crimes contra Criança equipe multi,20
Governança,Art 9 XX (a) Terceirizados com 2.5% mulheres vítimas de violência,10
Governança,Art 9 XX (b) Terceirizados com 5% mulheres trans refugiadas situação de rua,10
Governança,Art 9 XXI PPA Programa de Preparação à Aposentadoria,10
Governança,Art 9 XXII (a) Programa de prevenção de VD de magistradas e servidoras,10
Governança,Art 9 XXII (b) Campanha de VD com divulgação canais de denúncia,5
Governança,Art 9 XXII (c) Evento anual sobre VD,5
Governança,Art 9 XXIII Eleitoral,0
Governança,Art 9 XXIV Eleitoral,0
Governança,Art 9 XXV Primeira Infância Comitê Gestor com (a.1) composição (a.2) plano ação,10
Governança,Art 9 XXV Primeira Infância (b) 2 ações Res 470/2022,10
Governança,Art 9 XXV Primeira Infância (c) equipe multidisciplinar em Unidade Judiciária da Infância,20

Produtividade,Art 10 I melhores índices IPC-Jus 100%,90
Produtividade,Art 10 I ALTERNATIVA melhores índices IPC-Jus 90%,70
Produtividade,Art 10 I ALTERNATIVA melhores índices IPC-Jus 80%,50
Produtividade,Art 10 I ALTERNATIVA melhores índices IPC-Jus 70%,30
Produtividade,Art 10 II redução da taxa de congestionamento até 40%,35
Produtividade,Art 10 II ALTERNATIVA redução da taxa de congestionamento até 35%,40
Produtividade,Art 10 II ALTERNATIVA redução da taxa de congestionamento até 30%,45
Produtividade,Art 10 II ALTERNATIVA redução da taxa de congestionamento até 25%,50
Produtividade,Art 10 II ALTERNATIVA redução da taxa de congestionamento até 10%,50
Produtividade,Art 10 III Tempo médio de duração dos processos pendentes até 500 dias,50
Produtividade,Art 10 III ALTERNATIVA Tempo médio de duração dos processos pendentes até 700 dias,35
Produtividade,Art 10 III ALTERNATIVA Tempo médio de duração dos processos pendentes até 900 dias,20
Produtividade,Art 10 IV (a) audiências de Conciliação não criminais a partir de 30%,10
Produtividade,Art 10 IV (b) Homologação de acordos Primeiro Grau a partir de 17%,10
Produtividade,Art 10 IV (c) Homologação de acordos Segundo Grau a partir de 1.20%,10
Produtividade,Art 10 IV (d) sentença em execução título extrajudicial homologatórias a partir de 30%,10
Produtividade,Art 10 IV (e) Sentença em execução judicial homologatórias a partir de 13%,10
Produtividade,Art 10 V Meta 1,20
Produtividade,Art 10 V Meta 2,20
Produtividade,Art 10 V Meta 3,10
Produtividade,Art 10 V Meta 4,10
Produtividade,Art 10 V Meta 5,10
Produtividade,Art 10 V Meta 6,10
Produtividade,Art 10 V Meta 7,10
Produtividade,Art 10 V Meta 8,10
Produtividade,Art 10 V Meta 9,10
Produtividade,Art 10 V Meta 10,10
Produtividade,Art 10 V Meta 11,10
Produtividade,Art 10 VI baixar ou julgar - ingressados antes 2021 representem até 20% casos pendentes,50
Produtividade,Art 10 VI ALTERNATIVA baixar ou julgar - ingressados antes 2021 representem até 30% casos pendentes,25
Produtividade,Art 10 VII (a) tempo médio entre início e julgamento violência doméstica até 300 dias,20
Produtividade,Art 10 VII (a) ALTERNATIVA tempo médio entre início e julgamento violência doméstica até 600 dias,10
Produtividade,Art 10 VII (b) tempo médio entre início e julgamento feminicídio até 300 dias,20
Produtividade,Art 10 VII (b) ALTERNATIVA tempo médio entre início e julgamento feminicídio até 600 dias,10
Produtividade,Art 10 VII (c) tempo médio entre recebimento e decisão medida protetiva até 2 dias,20
Produtividade,Art 10 VIII (a.1) tempo médio entre início e julgamento judicialização da saúde até 250 dias,20
Produtividade,Art 10 VIII (a.2) ALTERNATIVA tempo médio entre início e julgamento judicialização da saúde até 350 dias,10
Produtividade,Art 10 IX (a.1) tempo médio entre início e julgamento direitos assistenciais até 200 dias,20
Produtividade,Art 10 IX (a.2) ALTERNATIVA tempo médio entre início e julgamento direitos assistenciais até 300 dias,10
Produtividade,Art 10 X (a) Reavaliação de acolhimento acima de 98% há 3 meses no SNA,15
Produtividade,Art 10 X (a) ALTERNATIVA Reavaliação de acolhimento acima de 90% há 3 meses no SNA,10
Produtividade,Art 10 X (b) acolhimento Familiar acima de 12%,15
Produtividade,Art 10 X (b) ALTERNATIVA acolhimento Familiar acima de 7.01%,10
Produtividade,Art 10 X (b) ALTERNATIVA acolhimento Familiar acima de 5.01%,5
Produtividade,Art 10 X (c.1) 80% dos processos de adoção pelo SNA prazo menor que 240 dias,10
Produtividade,Art 10 X (c.2) 80% dos processos de destituição no SNA prazo menor que 120 dias,10
Produtividade,Art 10 X (d) Cadastro de CPF acima de 90% das crianças,10
Produtividade,Art 10 XI (a.1) tempo médio de ação penal até 700 dias,20
Produtividade,Art 10 XI (a.1) ALTERNATIVA tempo médio de ação penal até 1.100 dias,10
Produtividade,Art 10 XI (a.2) tempo médio de ação penal JÚRI até 1.500 dias,20
Produtividade,Art 10 XI (a.2) ALTERNATIVA tempo médio de ação penal JÚRI até 2.000 dias,10
Produtividade,Art 10 XII 3 IRDRs ou IACs julgados,15
Produtividade,Art 10 XIII (a) IAD Índice de Atendimento à Demanda acima de 100% primeiro grau,30
Produtividade,Art 10 XIII (b) IAD Índice de Atendimento à Demanda acima de 100% segundo grau,20
Produtividade,Art 10 XIV (a) IAD ações ambientais,20
Produtividade,Art 10 XIV (b) julgar 40% processos ambientais ingressados até 31.12.2019,20
Produtividade,Art 10 XV Índice Progressão de Regime vencidos menor que 0.01%,30

Tecnologia,Art 12 I DataJud (a.1) Processos - mais de 98% registros AssuntoProcessual,10
Tecnologia,Art 12 I DataJud (a.2) Processos - mais de 95% registros MovimentoNacional,10
Tecnologia,Art 12 I DataJud (a.1) Processos - mais de 90% registros MovimentoNacional XSD,10
Tecnologia,Art 12 I DataJud (b.1) Partes - mais de 95% numeroDocumento polo ATIVO,10
Tecnologia,Art 12 I DataJud (b.2) Partes - mais de 95% numeroDocumento polo PASSIVO,10
Tecnologia,Art 12 I DataJud (b.3) Partes - mais de 90% advogados,10
Tecnologia,Art 12 I DataJud (b.4) Partes - mais de 90% OAB,10
Tecnologia,Art 12 I DataJud (c.1) Tópicos - mais de 95% audiencia,10
Tecnologia,Art 12 I DataJud (c.2) Tópicos - mais de 98% remessa,10
Tecnologia,Art 12 I DataJud (c.3) Tópicos - mais de 95% Evolução-Retificação-Remessa,10
Tecnologia,Art 12 I DataJud (c.4) Tópicos - mais de 95% suspensão Repercussão Geral ou Repetitivo,10
Tecnologia,Art 12 I DataJud (c.5) Tópicos - mais de 95% Medidas Protetivas,5
Tecnologia,Art 12 I DataJud (c.6) Tópicos - mais de 95% Competência do Júri,5
Tecnologia,Art 12 I DataJud (c.7) Tópicos - mais de 95% Sessões do Júri,5
Tecnologia,Art 12 I DataJud (c.8) Tópicos - mais de 95% Júri polo passivo,5
Tecnologia,Art 12 I DataJud (c.9) Tópicos - mais de 90% magistrado julgamento CPF,10
Tecnologia,Art 12 I DataJud (d.1) MTD - mais de 90% classeProcessual,10
Tecnologia,Art 12 I DataJud (d.2) MTD - mais de 90% orgaoJulgador,10
Tecnologia,Art 12 I DataJud (d.3) MTD - mais de 90% orgaoJulgadorColegiado,5
Tecnologia,Art 12 I DataJud (d.4) MTD - mais de 90% dadosBasicos,5
Tecnologia,Art 12 I DataJud (d.5) MTD - mais de 90% assistenciaJudiciaria,2
Tecnologia,Art 12 I DataJud (d.6) MTD - custasIniciais,2
Tecnologia,Art 12 I DataJud (d.7) MTD - mais de 90% Prioridade,2
Tecnologia,Art 12 II (a) MPM - até 2% inconsistência SERVENTIAS,20
Tecnologia,Art 12 II (b) MPM - até 5% inconsistência MAGISTRADOS,20
Tecnologia,Art 12 II (c) MPM - até 5% inconsistência SERVIDORES,20
Tecnologia,Art 12 III DataJud (a) 100% registros válidos classeProcessual,10
Tecnologia,Art 12 III DataJud (b) 98% registros válidos assuntoProcessual local-nacional,10
Tecnologia,Art 12 III DataJud (c.1) 95% registros válidos numeroDocumento polo ativo,5
Tecnologia,Art 12 III DataJud (c.2) 95% registros válidos numeroDocumento polo passivo,10
Tecnologia,Art 12 IV Tramitar ações judiciais de forma eletrônica acima de 99%,50
Tecnologia,Art 12 V Gov-TIC-JUD (a.1) satisfatório,10
Tecnologia,Art 12 V Gov-TIC-JUD (a.2) ALTERNATIVA aprimorado,20
Tecnologia,Art 12 V Gov-TIC-JUD (a.3) ALTERNATIVA excelência,30
Tecnologia,Art 12 V iGov-TIC-JUD (b) 60% quadro permanente servidores Res CNJ 370 art 24,30
Tecnologia,Art 12 VI 3 Núcleos de Justiça 4.0,30
Tecnologia,Art 12 VII Balcão Virtual - todas unidades primeiro grau,10
Tecnologia,Art 12 VII Balcão Virtual - todas unidades segundo grau,10
Tecnologia,Art 12 VIII PDPJ (a) 300 operações de autenticação SSO,30
Tecnologia,Art 12 VIII PDPJ (b) integração recebendo mínimo 5 inscrições,20
Tecnologia,Art 12 IX Codex (a.1) 70% casos novos em relação DataJud,5
Tecnologia,Art 12 IX Codex (a.2) ALTERNATIVA 90% casos novos em relação DataJud,15
Tecnologia,Art 12 IX Codex (a.3) ALTERNATIVA acima 90% casos novos em relação DataJud,25
Tecnologia,Art 12 IX Codex (b.1) 70% casos baixados em relação DataJud,5
Tecnologia,Art 12 IX Codex (b.2) ALTERNATIVA 90% casos baixados em relação DataJud,15
Tecnologia,Art 12 IX Codex (b.3) ALTERNATIVA acima 90% casos baixados em relação DataJud,25
Tecnologia,Art 12 IX Codex (c) registros de correlação em  95% SCA MPM,10
Tecnologia,Art 12 IX Codex (d) 90% processos eletrônicos na Codex Classe CNJ,10
Tecnologia,Art 12 IX Codex (e) 90% processos eletrônicos na Codex TPU,10
Tecnologia,Art 12 IX Codex (f) latência menor que 10 minutos,35
Tecnologia,Art 12 X 3 PIDs nível 2,30
Tecnologia,Art 12 XI BNMP diferença pessoas privadas liberdade GMFs -3% e +3%,30 

Transparência,Art 11 I - Ranking Transparência 100% Anexo II Res CNJ 215/2015,100
Transparência,Art 11 II - Ouvidoria - 90% respostas enviadas ao CNJ em 30 dias com resolução,20










